363,Sicalis ,26
364,Sirystes,76
365,Sittasomus ,25
366,Spartonoica,31
367,Spizaetus,1
368,Spizaetus ,1
369,Sporagra ,30
370,Sporophila ,26
371,Stelgidopteryx,34
372,Stephanophorus ,68
373,Stephanoxis,72
374,Stercorarius ,64
375,Sterna,65
376,Sterna ,65
377,Sternula ,65
378,Streptoprocne,7
379,Strix ,66
380,Sturnella,35
381,Sturnella ,35
382,Stymphalornis,67
383,Sublegatus,76
384,Suiriri ,76
385,Synallaxis ,31
386,Syndactyla ,31
387,Syrigma,9
388,Tachuris ,36
389,Tachybaptus,51
390,Tachycineta,34
391,Tachycineta ,34
392,Tachyphonus ,68
393,Tangara,68
394,Tapera ,24
395,Tersina ,68
396,Thalasseus ,65
397,Thalurania,72
398,Thamnophilus,67
399,Theristicus,69
400,Tigrisoma,9
401,Tinamus,70
402,Tityra,71
403,Tolmomyias,59
404,Triclaria,53
405,Tringa,63
406,Troglodytes ,73
407,Trogon ,74
408,Tryngites ,63
409,Turdus,75
410,Turdus ,75
411,Tyranniscus,76
412,Tyrannus,76
413,Tyrannus ,76
414,Tyto ,77
415,Urubitinga ,1
416,Vanellus ,15
417,Veniliornis,49
418,Veniliornis ,49
419,Vireo,78
420,Volatinia,26
421,Xanthopsar ,35
422,Xema,38
423,Xenops ,31
424,Xenopsaris ,71
425,Xiphocolaptes ,25
426,Xiphorhynchus ,25
427,Xolmis ,76
428,Zenaida ,19
429,Zonotrichia ,26
